Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,129.097,130.917,125.344,128.699,203346000,216.936
2014-01-28,127.59,129.598,126.339,126.993,101745100,214.06
2014-01-27,124.832,128.19,122.70,127.135,258582100,214.30
2014-01-24,133.675,134.443,131.677,132.254,86556100,222.928
2014-01-23,133.647,134.386,132.566,133.05,73777600,224.27
2014-01-22,135.24,135.993,134.785,135.04,58546200,227.625
2014-01-21,136.462,136.548,135.012,135.182,58728000,227.864
2014-01-20,136.946,137.088,135.552,136.462,45257700,230.021
2014-01-17,135.353,137.13,134.017,136.49,93710500,230.069
2014-01-16,135.353,136.45,134.216,134.898,57876300,227.385
2014-01-15,134.727,135.676,133.448,135.609,66190200,228.583
2014-01-14,132.026,134.26,131.685,134.159,41344300,226.139
2014-01-13,133.334,134.017,132.31,132.936,53141700,224.078
2014-01-10,134.301,136.11,133.448,133.448,77170200,224.94
2014-01-09,134.528,136.875,133.732,134.045,62457300,225.947
2014-01-08,134.841,136.678,134.102,134.216,53800500,226.235
2014-01-07,133.988,135.662,133.988,135.296,37779900,228.056
2014-01-06,133.533,134.785,132.709,134.073,51511400,225.995
2014-01-03,134.699,135.211,134.045,134.045,35667900,225.947
2014-01-02,135.04,135.645,134.456,134.898,37257000,227.385
2014-01-01,134.785,134.785,134.785,134.785,000,227.194
2013-12-31,135.097,135.717,134.472,134.785,16170100,227.194
2013-12-30,135.609,136.121,133.278,134.614,29485900,226.906
2013-12-27,134.926,135.447,134.443,135.325,26101500,228.104
2013-12-26,134.443,134.443,134.443,134.443,000,226.618
2013-12-25,134.443,134.443,134.443,134.443,000,226.618
2013-12-24,133.932,135.66,133.932,134.443,9150600,226.618
2013-12-23,133.988,134.805,133.647,134.301,33450000,226.378
2013-12-20,133.363,133.855,132.709,133.476,118156800,224.988
2013-12-19,130.69,132.879,130.491,132.879,69514600,223.982
2013-12-18,130.121,130.789,129.524,129.609,49071800,218.47
2013-12-17,128.529,130.149,128.529,129.979,67291500,219.093
2013-12-16,128.159,130.206,128.073,129.495,61211500,218.278
2013-12-13,129.751,130.064,127.775,128.898,76730400,217.271
2013-12-12,130.576,131.018,129.694,130.036,59895000,219.189
2013-12-11,131.486,132.396,130.946,131.088,50502700,220.962
2013-12-10,132.51,133.874,130.775,131.202,77546300,221.154
2013-12-09,131.77,133.278,130.966,132.765,92332700,223.79
2013-12-06,129.552,131.287,129.097,131.287,64450400,221.298
2013-12-05,127.704,128.697,125.116,128.557,48088600,216.697
2013-12-04,128.642,129.012,127.269,127.903,82087100,215.594
2013-12-03,128.386,129.097,128.131,128.415,72238800,216.457
2013-12-02,129.211,129.636,128.415,128.529,41224100,216.649
2013-11-29,129.694,130.872,128.984,128.984,37043100,217.416
2013-11-28,129.979,131.037,129.738,129.979,20338800,219.093
2013-11-27,129.894,131.258,129.894,130.206,40932900,219.476
2013-11-26,130.377,130.974,129.694,130.178,69984600,219.428
2013-11-25,131.031,131.656,130.232,130.661,60795300,220.243
2013-11-22,131.202,131.457,129.865,130.263,37712700,219.573
2013-11-21,128.159,130.832,128.131,130.775,46470500,220.435
2013-11-20,130.064,130.735,128.727,129.211,75271800,217.799
2013-11-19,132.396,132.515,131.60,131.97,50451800,218.843
2013-11-18,131.514,133.278,131.088,133.278,57942800,221.012
2013-11-15,131.827,133.22,130.889,131.571,56207400,218.182
2013-11-14,131.827,131.924,130.832,131.372,50448600,217.852
2013-11-13,130.69,131.374,129.658,130.462,80299300,216.343
2013-11-12,127.732,132.254,127.078,131.514,98089700,218.087
2013-11-11,129.467,130.042,128.557,129.296,50949400,214.41
2013-11-08,128.045,130.727,127.533,130.093,75080300,215.73
2013-11-07,130.803,132.294,129.439,129.552,57523500,214.834
2013-11-06,130.519,131.468,130.348,131.145,51547400,217.475
2013-11-05,130.803,130.832,129.283,129.808,45453500,215.258
2013-11-04,131.97,132.908,129.862,130.803,47167400,216.909
2013-11-01,130.803,132.296,129.95,132.225,96373100,219.267
2013-10-31,128.50,129.157,126.481,127.676,103043700,211.722
2013-10-30,128.415,129.512,128.073,128.586,48063900,213.231
2013-10-29,128.244,128.712,127.846,128.699,79751500,213.419
2013-10-28,129.183,129.183,127.96,128.244,73098700,212.665
2013-10-25,129.41,129.986,128.492,128.955,43566400,213.844
2013-10-24,130.747,130.803,129.40,130.178,41360600,215.871
2013-10-23,129.439,130.434,128.976,130.292,49861300,216.06
2013-10-22,129.609,130.377,128.859,129.638,47247400,214.976
2013-10-21,129.666,130.802,128.557,129.609,54424600,214.929
